Distributor,YEAR,SEX,Count,Percentage
DC,1935,Male Characters,1,100
DC,1936,Female Characters,2,22.22222222
DC,1936,Male Characters,7,77.77777778
DC,1937,Female Characters,1,25
DC,1937,Male Characters,3,75
DC,1938,Female Characters,1,10
DC,1938,Male Characters,9,90
DC,1939,Female Characters,5,27.77777778
DC,1939,Male Characters,13,72.22222222
DC,1940,,2,3.125
DC,1940,Female Characters,11,17.1875
DC,1940,Male Characters,51,79.6875
DC,1941,Female Characters,8,13.1147541
DC,1941,Male Characters,53,86.8852459
DC,1942,Female Characters,5,9.615384615
DC,1942,Male Characters,47,90.38461538
DC,1943,Male Characters,14,100
DC,1944,Female Characters,3,20
DC,1944,Male Characters,12,80
DC,1945,Male Characters,7,100
DC,1946,Female Characters,1,11.11111111
DC,1946,Male Characters,8,88.88888889
DC,1947,Female Characters,5,25
DC,1947,Male Characters,15,75
DC,1948,,1,5
DC,1948,Female Characters,4,20
DC,1948,Male Characters,15,75
DC,1949,Male Characters,6,100
DC,1950,Male Characters,9,100
DC,1951,Female Characters,1,8.333333333
DC,1951,Male Characters,11,91.66666667
DC,1952,Male Characters,5,100
DC,1953,Male Characters,1,100
DC,1954,Male Characters,7,100
DC,1955,Female Characters,2,16.66666667
DC,1955,Male Characters,10,83.33333333
DC,1956,Female Characters,2,15.38461538
DC,1956,Male Characters,11,84.61538462
DC,1957,,1,7.692307692
DC,1957,Female Characters,2,15.38461538
DC,1957,Male Characters,10,76.92307692
DC,1958,Female Characters,2,13.33333333
DC,1958,Male Characters,13,86.66666667
DC,1959,Female Characters,7,20.58823529
DC,1959,Male Characters,27,79.41176471
DC,1960,Female Characters,4,10.25641026
DC,1960,Male Characters,35,89.74358974
DC,1961,Female Characters,7,14
DC,1961,Genderless Characters,1,2
DC,1961,Male Characters,42,84
DC,1962,,2,4.761904762
DC,1962,Female Characters,5,11.9047619
DC,1962,Male Characters,35,83.33333333
DC,1963,Female Characters,6,15
DC,1963,Male Characters,34,85
DC,1964,,2,6.451612903
DC,1964,Female Characters,6,19.35483871
DC,1964,Male Characters,23,74.19354839
DC,1965,Female Characters,8,16
DC,1965,Male Characters,42,84
DC,1966,,1,1.639344262
DC,1966,Female Characters,11,18.03278689
DC,1966,Male Characters,49,80.32786885
DC,1967,,2,3.571428571
DC,1967,Female Characters,9,16.07142857
DC,1967,Male Characters,45,80.35714286
DC,1968,,1,1.639344262
DC,1968,Female Characters,19,31.14754098
DC,1968,Male Characters,41,67.21311475
DC,1969,Female Characters,10,43.47826087
DC,1969,Male Characters,13,56.52173913
DC,1970,,1,3.571428571
DC,1970,Female Characters,3,10.71428571
DC,1970,Male Characters,24,85.71428571
DC,1971,,2,3.076923077
DC,1971,Female Characters,7,10.76923077
DC,1971,Male Characters,56,86.15384615
DC,1972,,2,3.278688525
DC,1972,Female Characters,18,29.50819672
DC,1972,Male Characters,41,67.21311475
DC,1973,Female Characters,4,20
DC,1973,Male Characters,16,80
DC,1974,,1,5.882352941
DC,1974,Genderless Characters,1,5.882352941
DC,1974,Male Characters,15,88.23529412
DC,1975,Female Characters,3,7.692307692
DC,1975,Male Characters,36,92.30769231
DC,1976,Female Characters,12,26.66666667
DC,1976,Male Characters,33,73.33333333
DC,1977,Female Characters,11,21.15384615
DC,1977,Genderless Characters,1,1.923076923
DC,1977,Male Characters,40,76.92307692
DC,1978,Female Characters,20,33.33333333
DC,1978,Male Characters,40,66.66666667
DC,1979,Female Characters,4,13.79310345
DC,1979,Male Characters,25,86.20689655
DC,1980,Female Characters,10,27.77777778
DC,1980,Male Characters,26,72.22222222
DC,1981,,3,2.521008403
DC,1981,Female Characters,31,26.05042017
DC,1981,Genderless Characters,1,0.840336134
DC,1981,Male Characters,84,70.58823529
DC,1982,,3,2.702702703
DC,1982,Female Characters,31,27.92792793
DC,1982,Male Characters,77,69.36936937
DC,1983,,3,1.863354037
DC,1983,Female Characters,53,32.91925466
DC,1983,Male Characters,105,65.2173913
DC,1984,,3,2.127659574
DC,1984,Female Characters,40,28.36879433
DC,1984,Male Characters,98,69.5035461
DC,1985,,5,4.347826087
DC,1985,Female Characters,39,33.91304348
DC,1985,Genderless Characters,1,0.869565217
DC,1985,Male Characters,70,60.86956522
DC,1986,,3,2.272727273
DC,1986,Female Characters,37,28.03030303
DC,1986,Male Characters,92,69.6969697
DC,1987,,2,0.787401575
DC,1987,Female Characters,87,34.2519685
DC,1987,Genderless Characters,2,0.787401575
DC,1987,Male Characters,163,64.17322835
DC,1988,,3,1.048951049
DC,1988,Female Characters,88,30.76923077
DC,1988,Genderless Characters,2,0.699300699
DC,1988,Male Characters,193,67.48251748
DC,1989,,6,2.255639098
DC,1989,Female Characters,103,38.72180451
DC,1989,Genderless Characters,1,0.37593985
DC,1989,Male Characters,156,58.64661654
DC,1990,,1,0.571428571
DC,1990,Female Characters,53,30.28571429
DC,1990,Genderless Characters,1,0.571428571
DC,1990,Male Characters,120,68.57142857
DC,1991,,6,4.137931034
DC,1991,Female Characters,49,33.79310345
DC,1991,Male Characters,90,62.06896552
DC,1992,,3,1.685393258
DC,1992,Female Characters,41,23.03370787
DC,1992,Male Characters,134,75.28089888
DC,1993,,5,2.392344498
DC,1993,Female Characters,56,26.79425837
DC,1993,Male Characters,148,70.81339713
DC,1994,,6,2.608695652
DC,1994,Female Characters,70,30.43478261
DC,1994,Genderless Characters,1,0.434782609
DC,1994,Male Characters,153,66.52173913
DC,1995,,3,1.744186047
DC,1995,Female Characters,40,23.25581395
DC,1995,Male Characters,129,75
DC,1996,,1,0.531914894
DC,1996,Female Characters,62,32.9787234
DC,1996,Male Characters,125,66.4893617
DC,1997,,1,0.529100529
DC,1997,Female Characters,51,26.98412698
DC,1997,Genderless Characters,1,0.529100529
DC,1997,Male Characters,136,71.95767196
DC,1998,,4,2.797202797
DC,1998,Female Characters,45,31.46853147
DC,1998,Genderless Characters,2,1.398601399
DC,1998,Male Characters,92,64.33566434
DC,1999,,2,1.117318436
DC,1999,Female Characters,61,34.07821229
DC,1999,Male Characters,116,64.80446927
DC,2000,,3,1.973684211
DC,2000,Female Characters,46,30.26315789
DC,2000,Genderless Characters,1,0.657894737
DC,2000,Male Characters,102,67.10526316
DC,2001,,3,3.03030303
DC,2001,Female Characters,42,42.42424242
DC,2001,Male Characters,54,54.54545455
DC,2002,,4,3.47826087
DC,2002,Female Characters,41,35.65217391
DC,2002,Male Characters,70,60.86956522
DC,2003,Female Characters,32,31.06796117
DC,2003,Male Characters,71,68.93203883
DC,2004,Female Characters,31,30.39215686
DC,2004,Male Characters,71,69.60784314
DC,2005,,1,0.628930818
DC,2005,Female Characters,54,33.96226415
DC,2005,Genderless Characters,2,1.257861635
DC,2005,Male Characters,102,64.1509434
DC,2006,,8,2.640264026
DC,2006,Female Characters,96,31.68316832
DC,2006,Genderless Characters,1,0.330033003
DC,2006,Male Characters,198,65.34653465
DC,2007,,5,2.659574468
DC,2007,Female Characters,58,30.85106383
DC,2007,Genderless Characters,1,0.531914894
DC,2007,Male Characters,124,65.95744681
DC,2008,,4,1.895734597
DC,2008,Female Characters,74,35.07109005
DC,2008,Male Characters,133,63.03317536
DC,2009,,3,1.327433628
DC,2009,Female Characters,70,30.97345133
DC,2009,Male Characters,152,67.25663717
DC,2009,Transgender Characters,1,0.442477876
DC,2010,,6,2.150537634
DC,2010,Female Characters,74,26.52329749
DC,2010,Male Characters,199,71.32616487
DC,2011,,6,3.870967742
DC,2011,Female Characters,51,32.90322581
DC,2011,Male Characters,98,63.22580645
DC,2012,Female Characters,2,40
DC,2012,Male Characters,3,60
DC,2013,Male Characters,1,100
DC,NA,,1,1.449275362
DC,NA,Female Characters,20,28.98550725
DC,NA,Male Characters,48,69.56521739
Marvel,1939,,3,4.347826087
Marvel,1939,Female Characters,10,14.49275362
Marvel,1939,Male Characters,56,81.15942029
Marvel,1940,,5,2.262443439
Marvel,1940,Female Characters,33,14.9321267
Marvel,1940,Male Characters,183,82.80542986
Marvel,1941,,12,5.797101449
Marvel,1941,Female Characters,15,7.246376812
Marvel,1941,Male Characters,180,86.95652174
Marvel,1942,,10,4.098360656
Marvel,1942,Female Characters,14,5.737704918
Marvel,1942,Male Characters,220,90.16393443
Marvel,1943,,7,3.535353535
Marvel,1943,Female Characters,13,6.565656566
Marvel,1943,Male Characters,178,89.8989899
Marvel,1944,,1,0.746268657
Marvel,1944,Female Characters,12,8.955223881
Marvel,1944,Male Characters,121,90.29850746
Marvel,1945,Female Characters,12,12.37113402
Marvel,1945,Male Characters,85,87.62886598
Marvel,1946,Female Characters,12,13.33333333
Marvel,1946,Male Characters,78,86.66666667
Marvel,1947,,1,1.388888889
Marvel,1947,Female Characters,13,18.05555556
Marvel,1947,Male Characters,58,80.55555556
Marvel,1948,,3,2.586206897
Marvel,1948,Female Characters,14,12.06896552
Marvel,1948,Male Characters,99,85.34482759
Marvel,1949,,2,3.225806452
Marvel,1949,Female Characters,6,9.677419355
Marvel,1949,Genderfluid Characters,1,1.612903226
Marvel,1949,Male Characters,53,85.48387097
Marvel,1950,Female Characters,3,10.34482759
Marvel,1950,Male Characters,26,89.65517241
Marvel,1951,,2,3.703703704
Marvel,1951,Female Characters,9,16.66666667
Marvel,1951,Male Characters,43,79.62962963
Marvel,1952,,1,3.846153846
Marvel,1952,Female Characters,5,19.23076923
Marvel,1952,Male Characters,20,76.92307692
Marvel,1953,,3,7.692307692
Marvel,1953,Female Characters,10,25.64102564
Marvel,1953,Male Characters,26,66.66666667
Marvel,1954,,6,7.317073171
Marvel,1954,Female Characters,19,23.17073171
Marvel,1954,Male Characters,57,69.51219512
Marvel,1955,,1,2.325581395
Marvel,1955,Female Characters,4,9.302325581
Marvel,1955,Male Characters,38,88.37209302
Marvel,1956,,2,12.5
Marvel,1956,Female Characters,1,6.25
Marvel,1956,Male Characters,13,81.25
Marvel,1957,Male Characters,7,100
Marvel,1958,Female Characters,1,50
Marvel,1958,Male Characters,1,50
Marvel,1959,Male Characters,4,100
Marvel,1960,,2,5
Marvel,1960,Female Characters,2,5
Marvel,1960,Male Characters,36,90
Marvel,1961,,8,9.523809524
Marvel,1961,Female Characters,5,5.952380952
Marvel,1961,Male Characters,71,84.52380952
Marvel,1962,,6,5.714285714
Marvel,1962,Female Characters,13,12.38095238
Marvel,1962,Male Characters,86,81.9047619
Marvel,1963,,9,4.918032787
Marvel,1963,Female Characters,25,13.66120219
Marvel,1963,Male Characters,149,81.42076503
Marvel,1964,,6,3.448275862
Marvel,1964,Agender Characters,1,0.574712644
Marvel,1964,Female Characters,23,13.2183908
Marvel,1964,Male Characters,144,82.75862069
Marvel,1965,,27,15
Marvel,1965,Female Characters,21,11.66666667
Marvel,1965,Male Characters,132,73.33333333
Marvel,1966,,13,9.285714286
Marvel,1966,Agender Characters,1,0.714285714
Marvel,1966,Female Characters,19,13.57142857
Marvel,1966,Male Characters,107,76.42857143
Marvel,1967,,10,8.064516129
Marvel,1967,Agender Characters,2,1.612903226
Marvel,1967,Female Characters,10,8.064516129
Marvel,1967,Male Characters,102,82.25806452
Marvel,1968,,13,9.154929577
Marvel,1968,Female Characters,18,12.67605634
Marvel,1968,Male Characters,111,78.16901408
Marvel,1969,,23,17.1641791
Marvel,1969,Agender Characters,2,1.492537313
Marvel,1969,Female Characters,17,12.68656716
Marvel,1969,Male Characters,92,68.65671642
Marvel,1970,,7,5.303030303
Marvel,1970,Female Characters,17,12.87878788
Marvel,1970,Male Characters,108,81.81818182
Marvel,1971,,3,2.654867257
Marvel,1971,Agender Characters,1,0.884955752
Marvel,1971,Female Characters,16,14.15929204
Marvel,1971,Male Characters,93,82.30088496
Marvel,1972,,8,4.395604396
Marvel,1972,Female Characters,34,18.68131868
Marvel,1972,Male Characters,140,76.92307692
Marvel,1973,,14,5.714285714
Marvel,1973,Female Characters,50,20.40816327
Marvel,1973,Male Characters,181,73.87755102
Marvel,1974,,10,4.166666667
Marvel,1974,Female Characters,50,20.83333333
Marvel,1974,Male Characters,180,75
Marvel,1975,,12,4.181184669
Marvel,1975,Female Characters,66,22.99651568
Marvel,1975,Male Characters,209,72.82229965
Marvel,1976,,13,4.220779221
Marvel,1976,Female Characters,57,18.50649351
Marvel,1976,Male Characters,238,77.27272727
Marvel,1977,,23,7.876712329
Marvel,1977,Agender Characters,1,0.342465753
Marvel,1977,Female Characters,54,18.49315068
Marvel,1977,Male Characters,214,73.28767123
Marvel,1978,,20,10.05025126
Marvel,1978,Agender Characters,1,0.502512563
Marvel,1978,Female Characters,32,16.08040201
Marvel,1978,Male Characters,146,73.36683417
Marvel,1979,,25,10.59322034
Marvel,1979,Agender Characters,1,0.423728814
Marvel,1979,Female Characters,61,25.84745763
Marvel,1979,Male Characters,149,63.13559322
Marvel,1980,,10,3.891050584
Marvel,1980,Female Characters,60,23.3463035
Marvel,1980,Male Characters,187,72.76264591
Marvel,1981,,13,5.726872247
Marvel,1981,Female Characters,58,25.55066079
Marvel,1981,Male Characters,156,68.72246696
Marvel,1982,,12,5.555555556
Marvel,1982,Female Characters,52,24.07407407
Marvel,1982,Male Characters,152,70.37037037
Marvel,1983,,6,3.10880829
Marvel,1983,Female Characters,65,33.67875648
Marvel,1983,Male Characters,122,63.21243523
Marvel,1984,,19,8.482142857
Marvel,1984,Agender Characters,1,0.446428571
Marvel,1984,Female Characters,61,27.23214286
Marvel,1984,Male Characters,143,63.83928571
Marvel,1985,,14,5.511811024
Marvel,1985,Female Characters,69,27.16535433
Marvel,1985,Male Characters,171,67.32283465
Marvel,1986,,13,5.263157895
Marvel,1986,Female Characters,66,26.72064777
Marvel,1986,Male Characters,168,68.01619433
Marvel,1987,,8,4.395604396
Marvel,1987,Female Characters,45,24.72527473
Marvel,1987,Male Characters,129,70.87912088
Marvel,1988,,8,2.631578947
Marvel,1988,Female Characters,81,26.64473684
Marvel,1988,Male Characters,215,70.72368421
Marvel,1989,,13,4.049844237
Marvel,1989,Female Characters,71,22.11838006
Marvel,1989,Male Characters,237,73.8317757
Marvel,1990,,22,6.162464986
Marvel,1990,Female Characters,92,25.77030812
Marvel,1990,Male Characters,243,68.06722689
Marvel,1991,,36,10
Marvel,1991,Female Characters,92,25.55555556
Marvel,1991,Male Characters,232,64.44444444
Marvel,1992,,18,3.956043956
Marvel,1992,Agender Characters,1,0.21978022
Marvel,1992,Female Characters,118,25.93406593
Marvel,1992,Male Characters,318,69.89010989
Marvel,1993,,24,4.332129964
Marvel,1993,Agender Characters,4,0.722021661
Marvel,1993,Female Characters,125,22.5631769
Marvel,1993,Male Characters,401,72.38267148
Marvel,1994,,22,4.536082474
Marvel,1994,Agender Characters,2,0.412371134
Marvel,1994,Female Characters,117,24.12371134
Marvel,1994,Male Characters,344,70.92783505
Marvel,1995,,11,3.65448505
Marvel,1995,Agender Characters,1,0.332225914
Marvel,1995,Female Characters,79,26.24584718
Marvel,1995,Male Characters,210,69.76744186
Marvel,1996,,12,3.921568627
Marvel,1996,Agender Characters,1,0.326797386
Marvel,1996,Female Characters,101,33.00653595
Marvel,1996,Male Characters,192,62.74509804
Marvel,1997,,49,14.67065868
Marvel,1997,Female Characters,91,27.24550898
Marvel,1997,Male Characters,194,58.08383234
Marvel,1998,,6,2.189781022
Marvel,1998,Agender Characters,2,0.729927007
Marvel,1998,Female Characters,76,27.73722628
Marvel,1998,Male Characters,190,69.34306569
Marvel,1999,,12,5.194805195
Marvel,1999,Female Characters,72,31.16883117
Marvel,1999,Male Characters,147,63.63636364
Marvel,2000,,13,4.037267081
Marvel,2000,Agender Characters,1,0.310559006
Marvel,2000,Female Characters,87,27.01863354
Marvel,2000,Male Characters,221,68.63354037
Marvel,2001,,6,2.631578947
Marvel,2001,Agender Characters,1,0.438596491
Marvel,2001,Female Characters,73,32.01754386
Marvel,2001,Male Characters,148,64.9122807
Marvel,2002,,12,3.8585209
Marvel,2002,Female Characters,85,27.33118971
Marvel,2002,Male Characters,214,68.81028939
Marvel,2003,,2,0.778210117
Marvel,2003,Agender Characters,1,0.389105058
Marvel,2003,Female Characters,84,32.6848249
Marvel,2003,Male Characters,170,66.14785992
Marvel,2004,,5,1.773049645
Marvel,2004,Agender Characters,1,0.354609929
Marvel,2004,Female Characters,108,38.29787234
Marvel,2004,Male Characters,168,59.57446809
Marvel,2005,,12,3.571428571
Marvel,2005,Female Characters,112,33.33333333
Marvel,2005,Genderfluid Characters,1,0.297619048
Marvel,2005,Male Characters,211,62.79761905
Marvel,2006,,16,4.199475066
Marvel,2006,Agender Characters,1,0.262467192
Marvel,2006,Female Characters,105,27.55905512
Marvel,2006,Male Characters,259,67.97900262
Marvel,2007,,15,4.885993485
Marvel,2007,Agender Characters,1,0.325732899
Marvel,2007,Female Characters,82,26.71009772
Marvel,2007,Male Characters,209,68.0781759
Marvel,2008,,14,3.888888889
Marvel,2008,Agender Characters,1,0.277777778
Marvel,2008,Female Characters,101,28.05555556
Marvel,2008,Male Characters,244,67.77777778
Marvel,2009,,17,5.629139073
Marvel,2009,Agender Characters,1,0.331125828
Marvel,2009,Female Characters,85,28.14569536
Marvel,2009,Male Characters,199,65.89403974
Marvel,2010,,14,4.320987654
Marvel,2010,Female Characters,110,33.95061728
Marvel,2010,Male Characters,200,61.72839506
Marvel,2011,,14,4.011461318
Marvel,2011,Agender Characters,1,0.286532951
Marvel,2011,Female Characters,99,28.36676218
Marvel,2011,Male Characters,235,67.33524355
Marvel,2012,,5,2.487562189
Marvel,2012,Female Characters,56,27.86069652
Marvel,2012,Male Characters,140,69.65174129
Marvel,2013,,11,6.586826347
Marvel,2013,Agender Characters,5,2.994011976
Marvel,2013,Female Characters,54,32.33532934
Marvel,2013,Male Characters,97,58.08383234
Marvel,NA,,59,7.239263804
Marvel,NA,Agender Characters,9,1.104294479
Marvel,NA,Female Characters,209,25.64417178
Marvel,NA,Male Characters,538,66.01226994
